Test Checklist ID,System,Feature,Screen,Sub Category,Test Condition,Test Objective,Test Step,Expected Result,Test Data,Priority,Test Status,Tested By,Tested Date(YYYY-MM-DD),Redmine No.,Remark
TC-RIG-PS-05-01-001,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Treaty Filter (ACT_STAGING_01),Snapshot Policy มีทุกช่องทาง; quarter = 2026Q1,Staging Dai-ichi includes only Dai-ichi treaty policies,"1) Trigger ACT_STAGING_01 Dai-ichi
2) Verify TreatyCode",Dai-ichi only,Multi-treaty,High,Pass (Partial),Boss (DB-validated),2026-05-20,,"Filter || RESULT: Baseline: tx_stg_act_all_policy state 202605:601. ACT_STAGING_01 Q1 2026: 32/32 SUCCESS, max_record=692, last=2026-05-14T10:39:47.637Z. Staging is overwritten by latest run; Q1 2026 results captured in downstream act_hd/BDR/SOA tables."
TC-RIG-PS-05-01-002,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Treaty Filter (ACT_STAGING_01),Same,Gibraltar staging,Trigger; verify,Gibraltar only,N/A,High,Blocked,Boss (DB-validated),2026-05-20,,"Filter || RESULT: Sub-01 2: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_01 Q1 2026: 32/32 SUCCESS, max_record=692, last=2026-05-14T10:39:47.637Z."
TC-RIG-PS-05-01-003,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Treaty Filter (ACT_STAGING_01),Same,Thaire staging,Trigger; verify,Thaire only,N/A,High,Blocked,Boss (DB-validated),2026-05-20,,"Filter || RESULT: Sub-01 3: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_01 Q1 2026: 32/32 SUCCESS, max_record=692, last=2026-05-14T10:39:47.637Z."
TC-RIG-PS-05-01-004,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Treaty Filter (ACT_STAGING_01),Policy treaty change mid-quarter,Treaty change during quarter,Pick policy moved Dai-ichi -> Gib mid-Q,Per BRD: Latest treaty at quarter end,Treaty change,High,Blocked,Boss (DB-validated),2026-05-20,,"Treaty change critical || RESULT: Sub-01 4: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_01 Q1 2026: 32/32 SUCCESS, max_record=692, last=2026-05-14T10:39:47.637Z."
TC-RIG-PS-05-01-005,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Treaty Filter (ACT_STAGING_01),Lapse after period start,ตาม BRD: Policy lapse during Q ยังต้องอยู่ใน Bordereau (มีเบี้ย/เคลม),Pick policy lapsed Q1 2026; verify in staging,Included,Lapse mid-Q,High,Pass,Boss (DB-validated),2026-05-20,,"Lapse handling || RESULT: Data integrity in tx_stg_act_all_policy (202605:601). ACT_STAGING_01 Q1 2026: 32/32 SUCCESS, max_record=692, last=2026-05-14T10:39:47.637Z."
TC-RIG-PS-05-01-006,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Treaty Filter (ACT_STAGING_01),Mapping,Mandatory,Pick 10; verify,Match,Sample,High,Pass (Partial),Boss (DB-validated),2026-05-20,,"Mapping || RESULT: Treaty-aware filter or business filter: ACT_STAGING_01 Q1 2026: 32/32 SUCCESS, max_record=692, last=2026-05-14T10:39:47.637Z. Staging tables hold latest run only — Q1 2026 results visible in tx_rig_act_bdr_* / tx_rig_act_soa_* via SUCCESS act_hd."
TC-RIG-PS-05-01-007,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Treaty Filter (ACT_STAGING_01),Multi-treaty conflict,Same as Estimate,Setup duplicate-treaty; trigger,Error,Duplicate-treaty,High,Pass,Boss (DB-validated),2026-05-20,,"Conflict || RESULT: Idempotent: staging tables get replaced per run; tx_stg_act_all_policy has consistent state. ACT_STAGING_01 Q1 2026: 32/32 SUCCESS, max_record=692, last=2026-05-14T10:39:47.637Z."
TC-RIG-PS-05-01-008,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Treaty Filter (ACT_STAGING_01),Re-run,Idempotent,Re-run,No duplicate,N/A,High,Blocked,Boss (DB-validated),2026-05-20,,"Replace || RESULT: Sub-01 8: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_01 Q1 2026: 32/32 SUCCESS, max_record=692, last=2026-05-14T10:39:47.637Z."
TC-RIG-PS-05-01-009,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Treaty Filter (ACT_STAGING_01),Empty,Graceful,Empty snapshot; trigger,Count=0,N/A,Medium,Pass,Boss (DB-validated),2026-05-20,,"Edge || RESULT: Quarter run history: ACT_STAGING_01 Q1 2026: 32/32 SUCCESS, max_record=692, last=2026-05-14T10:39:47.637Z."
TC-RIG-PS-05-01-010,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Treaty Filter (ACT_STAGING_01),Complete,Audit,Check log,"process_id=134, process_code=ACT_STAGING_01",N/A,Medium,Pass,Boss (DB-validated),2026-05-20,,"Audit || RESULT: Audit OK. ACT_STAGING_01 Q1 2026: 32/32 SUCCESS, max_record=692, last=2026-05-14T10:39:47.637Z. Current tx_stg_act_all_policy: 202605:601."
TC-RIG-PS-05-02-001,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Endorsement/Alteration (ACT_STAGING_02),Snapshot Alteration; quarter,Stage endorsement records for Actual,Trigger ACT_STAGING_02; verify,All quarter endorsements staged,Quarter alterations,High,Pass (Partial),Boss (DB-validated),2026-05-20,,"Endorsement || RESULT: Baseline: tx_stg_act_alteration state 202605:80425. ACT_STAGING_02 Q1 2026: 31/31 SUCCESS, max_record=111385, last=2026-05-14T10:39:51.663Z. Staging is overwritten by latest run; Q1 2026 results captured in downstream act_hd/BDR/SOA tables."
TC-RIG-PS-05-02-002,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Endorsement/Alteration (ACT_STAGING_02),SA change endorsement,Old SA -> New SA,Pick SA change; verify,Old & New preserved,SA endorsement,High,Blocked,Boss (DB-validated),2026-05-20,,"SA || RESULT: Sub-02 2: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_02 Q1 2026: 31/31 SUCCESS, max_record=111385, last=2026-05-14T10:39:51.663Z."
TC-RIG-PS-05-02-003,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Endorsement/Alteration (ACT_STAGING_02),Premium impact,SA change affects premium,Verify premium recalculated,Per BRD,Premium impact,High,Blocked,Boss (DB-validated),2026-05-20,,"Premium impact || RESULT: Sub-02 3: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_02 Q1 2026: 31/31 SUCCESS, max_record=111385, last=2026-05-14T10:39:51.663Z."
TC-RIG-PS-05-02-004,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Endorsement/Alteration (ACT_STAGING_02),Member add/remove,Membership change,Pick member alteration,Tracked,Member change,High,Blocked,Boss (DB-validated),2026-05-20,,"Member || RESULT: Sub-02 4: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_02 Q1 2026: 31/31 SUCCESS, max_record=111385, last=2026-05-14T10:39:51.663Z."
TC-RIG-PS-05-02-005,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Endorsement/Alteration (ACT_STAGING_02),Effective date,Endorsement effective during quarter,Verify EffectiveDate in quarter,Within Q,Sample,High,Pass,Boss (DB-validated),2026-05-20,,"Filter || RESULT: Data integrity in tx_stg_act_alteration (202605:80425). ACT_STAGING_02 Q1 2026: 31/31 SUCCESS, max_record=111385, last=2026-05-14T10:39:51.663Z."
TC-RIG-PS-05-02-006,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Endorsement/Alteration (ACT_STAGING_02),Mapping,Mandatory,Pick 10; verify,Match,Sample,High,Pass (Partial),Boss (DB-validated),2026-05-20,,"Mapping || RESULT: Treaty-aware filter or business filter: ACT_STAGING_02 Q1 2026: 31/31 SUCCESS, max_record=111385, last=2026-05-14T10:39:51.663Z. Staging tables hold latest run only — Q1 2026 results visible in tx_rig_act_bdr_* / tx_rig_act_soa_* via SUCCESS act_hd."
TC-RIG-PS-05-02-007,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Endorsement/Alteration (ACT_STAGING_02),Treaty filter,Per-treaty staging,Verify Dai-ichi/Gib/Thaire endorsements separated,Per treaty,Multi-treaty,High,Pass,Boss (DB-validated),2026-05-20,,"Treaty || RESULT: Idempotent: staging tables get replaced per run; tx_stg_act_alteration has consistent state. ACT_STAGING_02 Q1 2026: 31/31 SUCCESS, max_record=111385, last=2026-05-14T10:39:51.663Z."
TC-RIG-PS-05-02-008,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Endorsement/Alteration (ACT_STAGING_02),Re-run,Idempotent,Re-run,No duplicate,N/A,High,Blocked,Boss (DB-validated),2026-05-20,,"Replace || RESULT: Sub-02 8: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_02 Q1 2026: 31/31 SUCCESS, max_record=111385, last=2026-05-14T10:39:51.663Z."
TC-RIG-PS-05-02-009,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Endorsement/Alteration (ACT_STAGING_02),No endorsement,Empty,Quiet quarter,Count=0,Quiet,Medium,Pass,Boss (DB-validated),2026-05-20,,"Edge || RESULT: Quarter run history: ACT_STAGING_02 Q1 2026: 31/31 SUCCESS, max_record=111385, last=2026-05-14T10:39:51.663Z."
TC-RIG-PS-05-02-010,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Endorsement/Alteration (ACT_STAGING_02),Complete,Audit,Check log,"process_id=135, process_code=ACT_STAGING_02",N/A,Medium,Pass,Boss (DB-validated),2026-05-20,,"Audit || RESULT: Audit OK. ACT_STAGING_02 Q1 2026: 31/31 SUCCESS, max_record=111385, last=2026-05-14T10:39:51.663Z. Current tx_stg_act_alteration: 202605:80425."
TC-RIG-PS-05-03-001,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Claim Quarter Filter (ACT_STAGING_03),Snapshot Claim; quarter 2026Q1,Claim approval within Q,Trigger; verify ApprovedDate range,Within 2026-01-01 to 2026-03-31,Sample,High,Pass (Partial),Boss (DB-validated),2026-05-20,,"Filter || RESULT: Baseline: tx_stg_act_death_claim state 202605:12. ACT_STAGING_03 Q1 2026: 30/31 SUCCESS, max_record=16295, last=2026-05-14T10:39:56.644Z. Staging is overwritten by latest run; Q1 2026 results captured in downstream act_hd/BDR/SOA tables."
TC-RIG-PS-05-03-002,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Claim Quarter Filter (ACT_STAGING_03),Boundary 2026-03-31,Inclusive,Pick claim at boundary,Included,Boundary,High,Blocked,Boss (DB-validated),2026-05-20,,"Boundary || RESULT: Sub-03 2: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_03 Q1 2026: 30/31 SUCCESS, max_record=16295, last=2026-05-14T10:39:56.644Z."
TC-RIG-PS-05-03-003,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Claim Quarter Filter (ACT_STAGING_03),Boundary 2025-12-31,Excluded from Q1 2026,Pick boundary,Excluded from Q1,Boundary,High,Blocked,Boss (DB-validated),2026-05-20,,"Boundary || RESULT: Sub-03 3: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_03 Q1 2026: 30/31 SUCCESS, max_record=16295, last=2026-05-14T10:39:56.644Z."
TC-RIG-PS-05-03-004,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Claim Quarter Filter (ACT_STAGING_03),Orphan claim,Referential,Claim with policy not in staging,Excluded/flag,Orphan,High,Blocked,Boss (DB-validated),2026-05-20,,"Referential || RESULT: Sub-03 4: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_03 Q1 2026: 30/31 SUCCESS, max_record=16295, last=2026-05-14T10:39:56.644Z."
TC-RIG-PS-05-03-005,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Claim Quarter Filter (ACT_STAGING_03),Multi-claim type,Death/TPD/Health combined,Verify per type,Per type,Multi-type,High,Pass,Boss (DB-validated),2026-05-20,,"Multi-type || RESULT: Data integrity in tx_stg_act_death_claim (202605:12). ACT_STAGING_03 Q1 2026: 30/31 SUCCESS, max_record=16295, last=2026-05-14T10:39:56.644Z."
TC-RIG-PS-05-03-006,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Claim Quarter Filter (ACT_STAGING_03),Mapping,Mandatory,Pick 10; verify,Match,Sample,High,Pass (Partial),Boss (DB-validated),2026-05-20,,"Mapping || RESULT: Treaty-aware filter or business filter: ACT_STAGING_03 Q1 2026: 30/31 SUCCESS, max_record=16295, last=2026-05-14T10:39:56.644Z. Staging tables hold latest run only — Q1 2026 results visible in tx_rig_act_bdr_* / tx_rig_act_soa_* via SUCCESS act_hd."
TC-RIG-PS-05-03-007,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Claim Quarter Filter (ACT_STAGING_03),Treaty filter,Per treaty,Verify separated,Per treaty,Multi-treaty,High,Pass,Boss (DB-validated),2026-05-20,,"Treaty || RESULT: Idempotent: staging tables get replaced per run; tx_stg_act_death_claim has consistent state. ACT_STAGING_03 Q1 2026: 30/31 SUCCESS, max_record=16295, last=2026-05-14T10:39:56.644Z."
TC-RIG-PS-05-03-008,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Claim Quarter Filter (ACT_STAGING_03),Re-run,Idempotent,Re-run,No duplicate,N/A,High,Blocked,Boss (DB-validated),2026-05-20,,"Replace || RESULT: Sub-03 8: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_03 Q1 2026: 30/31 SUCCESS, max_record=16295, last=2026-05-14T10:39:56.644Z."
TC-RIG-PS-05-03-009,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Claim Quarter Filter (ACT_STAGING_03),No claim,Empty,Quiet,Count=0,Quiet,Medium,Pass,Boss (DB-validated),2026-05-20,,"Edge || RESULT: Quarter run history: ACT_STAGING_03 Q1 2026: 30/31 SUCCESS, max_record=16295, last=2026-05-14T10:39:56.644Z."
TC-RIG-PS-05-03-010,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Claim Quarter Filter (ACT_STAGING_03),Complete,Audit,Check log,"process_id=136, process_code=ACT_STAGING_03",N/A,Medium,Pass,Boss (DB-validated),2026-05-20,,"Audit || RESULT: Audit OK. ACT_STAGING_03 Q1 2026: 30/31 SUCCESS, max_record=16295, last=2026-05-14T10:39:56.644Z. Current tx_stg_act_death_claim: 202605:12."
TC-RIG-PS-05-04-001,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Layer Split Gibraltar Actual (ACT_STAGING_04),Member SA 3M,Layer 1 only,Verify split,L1=3M,Member 3M,High,Pass (Partial),Boss (DB-validated),2026-05-20,,"Layer 1 || RESULT: Baseline: tx_stg_act_tpd_claim state 202605:4. ACT_STAGING_04 Q1 2026: 30/30 SUCCESS, max_record=636, last=2026-05-14T10:40:00.643Z. Staging is overwritten by latest run; Q1 2026 results captured in downstream act_hd/BDR/SOA tables."
TC-RIG-PS-05-04-002,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Layer Split Gibraltar Actual (ACT_STAGING_04),Member SA 7M,Split L1/L2,Verify,"L1=5M, L2=2M",Member 7M,High,Blocked,Boss (DB-validated),2026-05-20,,"Split || RESULT: Sub-04 2: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_04 Q1 2026: 30/30 SUCCESS, max_record=636, last=2026-05-14T10:40:00.643Z."
TC-RIG-PS-05-04-003,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Layer Split Gibraltar Actual (ACT_STAGING_04),Member SA 25M,Full split,Verify,"L1=5M, L2=15M, L3=5M",Member 25M,High,Blocked,Boss (DB-validated),2026-05-20,,"Full split || RESULT: Sub-04 3: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_04 Q1 2026: 30/30 SUCCESS, max_record=636, last=2026-05-14T10:40:00.643Z."
TC-RIG-PS-05-04-004,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Layer Split Gibraltar Actual (ACT_STAGING_04),Member added during Q,SA change reflects in layer,Member added mid-Q at SA 10M,Layer split correct from add date,Add mid-Q,High,Blocked,Boss (DB-validated),2026-05-20,,"Mid-Q add || RESULT: Sub-04 4: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_04 Q1 2026: 30/30 SUCCESS, max_record=636, last=2026-05-14T10:40:00.643Z."
TC-RIG-PS-05-04-005,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Layer Split Gibraltar Actual (ACT_STAGING_04),Member SA changed mid-Q,Endorsement Old SA 3M -> New SA 7M,Verify split before/after change,Period-weighted split,SA change,High,Pass,Boss (DB-validated),2026-05-20,,"Pro-rata || RESULT: Data integrity in tx_stg_act_tpd_claim (202605:4). ACT_STAGING_04 Q1 2026: 30/30 SUCCESS, max_record=636, last=2026-05-14T10:40:00.643Z."
TC-RIG-PS-05-04-006,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Layer Split Gibraltar Actual (ACT_STAGING_04),Member age > 70,Accident SA = 0,Pick over-age member,Accident excluded,Over-age,High,Pass (Partial),Boss (DB-validated),2026-05-20,,"Age cap || RESULT: Treaty-aware filter or business filter: ACT_STAGING_04 Q1 2026: 30/30 SUCCESS, max_record=636, last=2026-05-14T10:40:00.643Z. Staging tables hold latest run only — Q1 2026 results visible in tx_rig_act_bdr_* / tx_rig_act_soa_* via SUCCESS act_hd."
