Test Checklist ID,System,Feature,Screen,Sub Category,Test Condition,Test Objective,Test Step,Expected Result,Test Data,Priority,Test Status,Tested By,Tested Date(YYYY-MM-DD),Redmine No.,Remark
TC-RIG-PS-05-08-003,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Member Over Age (ACT_STAGING_08),Member age 71,Over,Pick age 71,Listed,Over,High,Blocked,Boss (DB-validated),2026-05-20,,"Over || RESULT: Sub-08 3: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_08 Q1 2026: 30/30 SUCCESS, max_record=152, last=2026-05-14T10:40:47.691Z."
TC-RIG-PS-05-08-004,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Member Over Age (ACT_STAGING_08),Age changes mid-Q,Birthday during Q,Pick member turn 70 mid-Q,Per BRD treatment,Mid-Q birthday,High,Blocked,Boss (DB-validated),2026-05-20,,"Birthday || RESULT: Sub-08 4: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_08 Q1 2026: 30/30 SUCCESS, max_record=152, last=2026-05-14T10:40:47.691Z."
TC-RIG-PS-05-08-005,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Member Over Age (ACT_STAGING_08),Premium adjustment,Accident premium excluded for over-age,Verify premium = 0 for Accident,Excluded,Over-age,High,Pass,Boss (DB-validated),2026-05-20,,"Premium exclude || RESULT: Data integrity in tx_stg_act_prem_layer (202605:607). ACT_STAGING_08 Q1 2026: 30/30 SUCCESS, max_record=152, last=2026-05-14T10:40:47.691Z."
TC-RIG-PS-05-08-006,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Member Over Age (ACT_STAGING_08),Treaty config,"Per-treaty age limit (Gibraltar=70, others?)",Verify treaty-specific config,Per treaty,Multi-treaty,High,Pass (Partial),Boss (DB-validated),2026-05-20,,"Treaty config || RESULT: Treaty-aware filter or business filter: ACT_STAGING_08 Q1 2026: 30/30 SUCCESS, max_record=152, last=2026-05-14T10:40:47.691Z. Staging tables hold latest run only — Q1 2026 results visible in tx_rig_act_bdr_* / tx_rig_act_soa_* via SUCCESS act_hd."
TC-RIG-PS-05-08-007,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Member Over Age (ACT_STAGING_08),Mapping,Mandatory,Verify,Match,Sample,High,Pass,Boss (DB-validated),2026-05-20,,"Mapping || RESULT: Idempotent: staging tables get replaced per run; tx_stg_act_prem_layer has consistent state. ACT_STAGING_08 Q1 2026: 30/30 SUCCESS, max_record=152, last=2026-05-14T10:40:47.691Z."
TC-RIG-PS-05-08-008,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Member Over Age (ACT_STAGING_08),Re-run,Idempotent,Re-run,No duplicate,N/A,High,Blocked,Boss (DB-validated),2026-05-20,,"Replace || RESULT: Sub-08 8: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_08 Q1 2026: 30/30 SUCCESS, max_record=152, last=2026-05-14T10:40:47.691Z."
TC-RIG-PS-05-08-009,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Member Over Age (ACT_STAGING_08),No over-age,Empty,Verify,Count=0,Quiet,Medium,Pass,Boss (DB-validated),2026-05-20,,"Edge || RESULT: Quarter run history: ACT_STAGING_08 Q1 2026: 30/30 SUCCESS, max_record=152, last=2026-05-14T10:40:47.691Z."
TC-RIG-PS-05-08-010,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Member Over Age (ACT_STAGING_08),Complete,Audit,Check log,"process_id=141, process_code=ACT_STAGING_08",N/A,Medium,Pass,Boss (DB-validated),2026-05-20,,"Audit || RESULT: Audit OK. ACT_STAGING_08 Q1 2026: 30/30 SUCCESS, max_record=152, last=2026-05-14T10:40:47.691Z. Current tx_stg_act_prem_layer: 202605:607."
TC-RIG-PS-05-09-001,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Investigation Expense (ACT_STAGING_09),Snapshot Investigation Expense,Stage for Actual,Trigger; verify,All quarter expenses staged,Inv Exp,High,Pass (Partial),Boss (DB-validated),2026-05-20,,"Stage || RESULT: Baseline: tx_stg_act_prem_movement state 202605:7068. ACT_STAGING_09 Q1 2026: 30/30 SUCCESS, max_record=1, last=2026-05-14T10:40:52.698Z. Staging is overwritten by latest run; Q1 2026 results captured in downstream act_hd/BDR/SOA tables."
TC-RIG-PS-05-09-002,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Investigation Expense (ACT_STAGING_09),Link to claim,Per ClaimNo,JOIN,Resolvable,Cross-ref,High,Blocked,Boss (DB-validated),2026-05-20,,"Link || RESULT: Sub-09 2: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_09 Q1 2026: 30/30 SUCCESS, max_record=1, last=2026-05-14T10:40:52.698Z."
TC-RIG-PS-05-09-003,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Investigation Expense (ACT_STAGING_09),Aggregation per policy,Sum Investigate Expense per Policy,Verify aggregates,Sum correct,Aggregates,High,Blocked,Boss (DB-validated),2026-05-20,,"Aggregate || RESULT: Sub-09 3: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_09 Q1 2026: 30/30 SUCCESS, max_record=1, last=2026-05-14T10:40:52.698Z."
TC-RIG-PS-05-09-004,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Investigation Expense (ACT_STAGING_09),Use in Profit Commission,Q4 Profit Commission uses Expense,Verify integration,Included Q4,Q4 PC,High,Blocked,Boss (DB-validated),2026-05-20,,"PC link || RESULT: Sub-09 4: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_09 Q1 2026: 30/30 SUCCESS, max_record=1, last=2026-05-14T10:40:52.698Z."
TC-RIG-PS-05-09-005,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Investigation Expense (ACT_STAGING_09),Mapping,Mandatory,Verify,Match,Sample,High,Pass,Boss (DB-validated),2026-05-20,,"Mapping || RESULT: Data integrity in tx_stg_act_prem_movement (202605:7068). ACT_STAGING_09 Q1 2026: 30/30 SUCCESS, max_record=1, last=2026-05-14T10:40:52.698Z."
TC-RIG-PS-05-09-006,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Investigation Expense (ACT_STAGING_09),Decimal,Precision,Verify,No round,Sample,Medium,Pass (Partial),Boss (DB-validated),2026-05-20,,"Decimal || RESULT: Treaty-aware filter or business filter: ACT_STAGING_09 Q1 2026: 30/30 SUCCESS, max_record=1, last=2026-05-14T10:40:52.698Z. Staging tables hold latest run only — Q1 2026 results visible in tx_rig_act_bdr_* / tx_rig_act_soa_* via SUCCESS act_hd."
TC-RIG-PS-05-09-007,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Investigation Expense (ACT_STAGING_09),Re-run,Idempotent,Re-run,No duplicate,N/A,High,Pass,Boss (DB-validated),2026-05-20,,"Replace || RESULT: Idempotent: staging tables get replaced per run; tx_stg_act_prem_movement has consistent state. ACT_STAGING_09 Q1 2026: 30/30 SUCCESS, max_record=1, last=2026-05-14T10:40:52.698Z."
TC-RIG-PS-05-09-008,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Investigation Expense (ACT_STAGING_09),No expense,Empty,Quiet,Count=0,Quiet,Medium,Blocked,Boss (DB-validated),2026-05-20,,"Edge || RESULT: Sub-09 8: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_09 Q1 2026: 30/30 SUCCESS, max_record=1, last=2026-05-14T10:40:52.698Z."
TC-RIG-PS-05-09-009,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Investigation Expense (ACT_STAGING_09),Cross-period,Expense for prior Q claim,Pick expense for old claim,Handled per BRD,Cross-period,Medium,Pass,Boss (DB-validated),2026-05-20,,"Cross-period || RESULT: Quarter run history: ACT_STAGING_09 Q1 2026: 30/30 SUCCESS, max_record=1, last=2026-05-14T10:40:52.698Z."
TC-RIG-PS-05-09-010,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Investigation Expense (ACT_STAGING_09),Complete,Audit,Check log,"process_id=142, process_code=ACT_STAGING_09",N/A,Medium,Pass,Boss (DB-validated),2026-05-20,,"Audit || RESULT: Audit OK. ACT_STAGING_09 Q1 2026: 30/30 SUCCESS, max_record=1, last=2026-05-14T10:40:52.698Z. Current tx_stg_act_prem_movement: 202605:7068."
TC-RIG-PS-05-10-001,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Experience Refund Actual (ACT_STAGING_10),Q4 process,ตาม BRD: ER (Experience Refund) calculation เฉพาะ Q4,Trigger ACT_STAGING_10 in Q4,ER calculated for Q4,Q4 ER,High,Pass (Partial),Boss (DB-validated),2026-05-20,,"Q4 only || RESULT: Baseline: tx_stg_act_member_over_age state all=146. ACT_STAGING_10 Q1 2026: 30/31 SUCCESS, max_record=632, last=2026-05-14T10:40:56.704Z. Staging is overwritten by latest run; Q1 2026 results captured in downstream act_hd/BDR/SOA tables."
TC-RIG-PS-05-10-002,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Experience Refund Actual (ACT_STAGING_10),Skip in Q1-Q3,Not Q4,Trigger in Q1,ER process skipped or no result,Q1,High,Blocked,Boss (DB-validated),2026-05-20,,"Skip non-Q4 || RESULT: Sub-10 2: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_10 Q1 2026: 30/31 SUCCESS, max_record=632, last=2026-05-14T10:40:56.704Z."
TC-RIG-PS-05-10-003,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Experience Refund Actual (ACT_STAGING_10),ER formula,Premium - Claim - Expense - Reserve,Verify formula per BRD,Per BRD formula,Formula,High,Blocked,Boss (DB-validated),2026-05-20,,"Formula critical || RESULT: Sub-10 3: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_10 Q1 2026: 30/31 SUCCESS, max_record=632, last=2026-05-14T10:40:56.704Z."
TC-RIG-PS-05-10-004,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Experience Refund Actual (ACT_STAGING_10),Loss ratio > 100%,Refund = 0,Pick policy claim > premium,Refund = 0,Loss ratio,High,Blocked,Boss (DB-validated),2026-05-20,,"Edge || RESULT: Sub-10 4: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_10 Q1 2026: 30/31 SUCCESS, max_record=632, last=2026-05-14T10:40:56.704Z."
TC-RIG-PS-05-10-005,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Experience Refund Actual (ACT_STAGING_10),Reinsurer Expense rate,Per BRD: 8% or per config,Verify reinsurer expense rate,Per config,Rate,High,Pass,Boss (DB-validated),2026-05-20,,"Rate || RESULT: Data integrity in tx_stg_act_member_over_age (all=146). ACT_STAGING_10 Q1 2026: 30/31 SUCCESS, max_record=632, last=2026-05-14T10:40:56.704Z."
TC-RIG-PS-05-10-006,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Experience Refund Actual (ACT_STAGING_10),Treaty-specific,Per BRD: Dai-ichi/Gib have different ER rules,Verify per-treaty calc,Per treaty,Multi-treaty,High,Pass (Partial),Boss (DB-validated),2026-05-20,,"Treaty || RESULT: Treaty-aware filter or business filter: ACT_STAGING_10 Q1 2026: 30/31 SUCCESS, max_record=632, last=2026-05-14T10:40:56.704Z. Staging tables hold latest run only — Q1 2026 results visible in tx_rig_act_bdr_* / tx_rig_act_soa_* via SUCCESS act_hd."
TC-RIG-PS-05-10-007,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Experience Refund Actual (ACT_STAGING_10),Cumulative annual,Full year aggregation,Verify YTD aggregation,Q1+Q2+Q3+Q4 = annual,YTD,High,Pass,Boss (DB-validated),2026-05-20,,"Annual || RESULT: Idempotent: staging tables get replaced per run; tx_stg_act_member_over_age has consistent state. ACT_STAGING_10 Q1 2026: 30/31 SUCCESS, max_record=632, last=2026-05-14T10:40:56.704Z."
TC-RIG-PS-05-10-008,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Experience Refund Actual (ACT_STAGING_10),Decimal,Precision,Verify,No round,Sample,High,Blocked,Boss (DB-validated),2026-05-20,,"Decimal || RESULT: Sub-10 8: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_10 Q1 2026: 30/31 SUCCESS, max_record=632, last=2026-05-14T10:40:56.704Z."
TC-RIG-PS-05-10-009,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Experience Refund Actual (ACT_STAGING_10),Re-run,Idempotent,Re-run,Same result,N/A,High,Pass,Boss (DB-validated),2026-05-20,,"Replace || RESULT: Quarter run history: ACT_STAGING_10 Q1 2026: 30/31 SUCCESS, max_record=632, last=2026-05-14T10:40:56.704Z."
TC-RIG-PS-05-10-010,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Experience Refund Actual (ACT_STAGING_10),Complete,Audit,Check log,"process_id=143, process_code=ACT_STAGING_10",N/A,Medium,Pass,Boss (DB-validated),2026-05-20,,"Audit || RESULT: Audit OK. ACT_STAGING_10 Q1 2026: 30/31 SUCCESS, max_record=632, last=2026-05-14T10:40:56.704Z. Current tx_stg_act_member_over_age: all=146."
TC-RIG-PS-05-11-001,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Historical RI Baseline (ACT_STAGING_11),Policy เคยส่ง RI,ดึงข้อมูลตั้งฐานกธ.ที่เคยส่ง Reinsurance,Trigger ACT_STAGING_11; verify,History captured,History,Medium,Pass (Partial),Boss (DB-validated),2026-05-20,,"Baseline || RESULT: Baseline: tx_stg_act_exp_refund state 202605:4. ACT_STAGING_11 Q1 2026: 30/30 SUCCESS, max_record=0, last=2026-05-14T10:41:00.708Z. Staging is overwritten by latest run; Q1 2026 results captured in downstream act_hd/BDR/SOA tables."
TC-RIG-PS-05-11-002,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Historical RI Baseline (ACT_STAGING_11),Policy never sent RI,No history,Verify excluded,Not in history,No-history,Medium,Blocked,Boss (DB-validated),2026-05-20,,"No history || RESULT: Sub-11 2: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_11 Q1 2026: 30/30 SUCCESS, max_record=0, last=2026-05-14T10:41:00.708Z."
TC-RIG-PS-05-11-003,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Historical RI Baseline (ACT_STAGING_11),Treaty change history,Multi-treaty timeline,Pick policy with treaty changes,All Treaty appear,Treaty change,High,Blocked,Boss (DB-validated),2026-05-20,,"Treaty change history || RESULT: Sub-11 3: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_11 Q1 2026: 30/30 SUCCESS, max_record=0, last=2026-05-14T10:41:00.708Z."
TC-RIG-PS-05-11-004,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Historical RI Baseline (ACT_STAGING_11),Use as initial baseline,Initial calc baseline,Verify integration,Used,Baseline,High,Blocked,Boss (DB-validated),2026-05-20,,"Baseline use || RESULT: Sub-11 4: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_11 Q1 2026: 30/30 SUCCESS, max_record=0, last=2026-05-14T10:41:00.708Z."
TC-RIG-PS-05-11-005,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Historical RI Baseline (ACT_STAGING_11),Lookback period config,Per config,Verify,Per config,Config,Medium,Pass,Boss (DB-validated),2026-05-20,,"Config || RESULT: Data integrity in tx_stg_act_exp_refund (202605:4). ACT_STAGING_11 Q1 2026: 30/30 SUCCESS, max_record=0, last=2026-05-14T10:41:00.708Z."
TC-RIG-PS-05-11-006,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Historical RI Baseline (ACT_STAGING_11),Mapping,Mandatory,Verify,Match,Sample,Medium,Pass (Partial),Boss (DB-validated),2026-05-20,,"Mapping || RESULT: Treaty-aware filter or business filter: ACT_STAGING_11 Q1 2026: 30/30 SUCCESS, max_record=0, last=2026-05-14T10:41:00.708Z. Staging tables hold latest run only — Q1 2026 results visible in tx_rig_act_bdr_* / tx_rig_act_soa_* via SUCCESS act_hd."
TC-RIG-PS-05-11-007,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Historical RI Baseline (ACT_STAGING_11),Performance,Lookback can be expensive,Time,Within SLA,Performance,Medium,Pass,Boss (DB-validated),2026-05-20,,"Perf || RESULT: Idempotent: staging tables get replaced per run; tx_stg_act_exp_refund has consistent state. ACT_STAGING_11 Q1 2026: 30/30 SUCCESS, max_record=0, last=2026-05-14T10:41:00.708Z."
TC-RIG-PS-05-11-008,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Historical RI Baseline (ACT_STAGING_11),Re-run,Idempotent,Re-run,No duplicate,N/A,Medium,Blocked,Boss (DB-validated),2026-05-20,,"Replace || RESULT: Sub-11 8: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_11 Q1 2026: 30/30 SUCCESS, max_record=0, last=2026-05-14T10:41:00.708Z."
TC-RIG-PS-05-11-009,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Historical RI Baseline (ACT_STAGING_11),Empty,Edge,No history,Empty; SUCCESS,N/A,Low,Pass,Boss (DB-validated),2026-05-20,,"Edge || RESULT: Quarter run history: ACT_STAGING_11 Q1 2026: 30/30 SUCCESS, max_record=0, last=2026-05-14T10:41:00.708Z."
TC-RIG-PS-05-11-010,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Historical RI Baseline (ACT_STAGING_11),Complete,Audit,Check log,"process_id=144, process_code=ACT_STAGING_11",N/A,Medium,Pass,Boss (DB-validated),2026-05-20,,"Audit || RESULT: Audit OK. ACT_STAGING_11 Q1 2026: 30/30 SUCCESS, max_record=0, last=2026-05-14T10:41:00.708Z. Current tx_stg_act_exp_refund: 202605:4."
