Issue Type,Summary,Priority,Component,Fix Version,Labels,Description
Test,TC-01-01 ดึง Customer Daily สำเร็จ,Highest,TS-01,Lot 1,"Lot1,TS-01,Positive","*Lot:* 1
*Trace:* 01-1
*Type:* Positive

*Pre-condition:*
มีข้อมูลใน CIS/DW

*Test Steps:*
รอ batch 23:00 หรือ trigger ดึงข้อมูล

*Expected Result:*
ข้อมูล Customer ถูก Insert/Update เข้า MCMP ครบ (Inforce + ไม่ Inforce, ทุกแบบประกัน)

*Test Data:*
Customer ปกติ"
Test,TC-01-02 Update ข้อมูลที่เปลี่ยนแปลง (ไม่สร้างซ้ำ),Highest,TS-01,Lot 1,"Lot1,TS-01,Positive","*Lot:* 1
*Trace:* 01-1
*Type:* Positive

*Pre-condition:*
Customer เดิมมีในระบบ + ต้นทางแก้ไข

*Test Steps:*
1. แก้ข้อมูล Customer ที่ต้นทาง
2. รัน batch

*Expected Result:*
ระเบียนเดิมถูก Update ไม่เกิด record ซ้ำ

*Test Data:*
Customer เดิม + แก้ไข"
Test,TC-01-03 ดึง Contact Center / FB Inbox Realtime,High,TS-01,Lot 3,"Lot3,TS-01,Positive","*Lot:* 3
*Trace:* 01-1-(2)
*Type:* Positive

*Pre-condition:*
มี case ใหม่ใน NBS

*Test Steps:*
สร้าง case ใหม่ใน NBS

*Expected Result:*
ข้อมูลเข้า MCMP แบบ Realtime

*Test Data:*
"
Test,TC-01-04 ตัวแทน OSSS อัปเดต Near-realtime,High,TS-01,Lot 2,"Lot2,TS-01,Positive","*Lot:* 2
*Trace:* 01-1-(5)
*Type:* Positive

*Pre-condition:*
OSSS มีการแก้ไขข้อมูล

*Test Steps:*
แก้คุณวุฒิ/ตำแหน่งใน OSSS

*Expected Result:*
MCMP อัปเดตตามอัตโนมัติ

*Test Data:*
"
Test,TC-01-05 ดึงข้อมูลไม่สำเร็จ → ไป 01-4,Highest,TS-01,Lot 1,"Lot1,TS-01,Negative","*Lot:* 1
*Trace:* 01-2
*Type:* Negative

*Pre-condition:*
-

*Test Steps:*
ทำให้ source ล่ม/ไฟล์เสีย แล้วรัน batch

*Expected Result:*
ระบบจับ error ข้ามไปขั้นแจ้งผล ไม่บันทึกข้อมูลผิด

*Test Data:*
"
Test,TC-01-06 ดึงสำเร็จ → จัดเก็บ + แจ้งผล,Highest,TS-01,Lot 1,"Lot1,TS-01,Positive","*Lot:* 1
*Trace:* 01-2/01-3
*Type:* Positive

*Pre-condition:*
source ปกติ

*Test Steps:*
รัน batch

*Expected Result:*
บันทึกลงระบบส่วนกลาง + ส่ง Automail สำเร็จ

*Test Data:*
"
Test,TC-01-07 Automail แจ้งผลสำเร็จ 08:00,High,TS-01,Lot 1,"Lot1,TS-01,Positive","*Lot:* 1
*Trace:* 01-4
*Type:* Positive

*Pre-condition:*
batch เสร็จ

*Test Steps:*
ตรวจเวลา/ผู้รับ/Template

*Expected Result:*
อีเมลส่งถึงฝ่ายการตลาด 08:00 ตาม Template_Marketing Campaign

*Test Data:*
"
Test,TC-01-08 ไม่พบไฟล์ใน Path → Automail 09:00,High,TS-01,Lot 1,"Lot1,TS-01,Negative","*Lot:* 1
*Trace:* 01-0-(5)
*Type:* Negative

*Pre-condition:*
-

*Test Steps:*
ลบไฟล์ออกจาก Path แล้วรัน batch

*Expected Result:*
ส่ง Automail แจ้งฝ่ายที่เกี่ยวข้อง 09:00

*Test Data:*
"
Test,TC-01-09 ดึง RFM แบบ Manual,High,TS-01,Lot 1,"Lot1,TS-01,Positive","*Lot:* 1
*Trace:* 01-1-(6)
*Type:* Positive

*Pre-condition:*
มีไฟล์ RFM

*Test Steps:*
กดปุ่มประมวลผลบนหน้าจอ

*Expected Result:*
ข้อมูล RFM ถูกนำเข้า

*Test Data:*
RFM Actuary"
Test,TC-02-01 Upload csv ถูกต้อง,Highest,TS-02,Lot 3,"Lot3,TS-02,Positive","*Lot:* 3
*Trace:* 01-5
*Type:* Positive

*Pre-condition:*
ไฟล์ csv 4MB column ครบ

*Test Steps:*
Upload ผ่าน UI

*Expected Result:*
นำเข้าสำเร็จ ไป 01-3

*Test Data:*
csv 4MB ถูกต้อง"
Test,TC-02-02 Upload ไฟล์ไม่ใช่ csv,Highest,TS-02,Lot 3,"Lot3,TS-02,Negative","*Lot:* 3
*Trace:* 01-7(1)
*Type:* Negative

*Pre-condition:*
ไฟล์ .xlsx/.pdf

*Test Steps:*
Upload

*Expected Result:*
Popup: อัปโหลดเป็น csv เท่านั้น

*Test Data:*
xlsx/pdf"
Test,TC-02-03 Upload ไฟล์ = 5MB พอดี,High,TS-02,Lot 3,"Lot3,TS-02,Boundary","*Lot:* 3
*Trace:* 01-7(1)
*Type:* Boundary

*Pre-condition:*
ไฟล์ csv 5.00MB

*Test Steps:*
Upload

*Expected Result:*
นำเข้าสำเร็จ (ขอบเขตยอมรับ)

*Test Data:*
csv 5.00MB"
Test,TC-02-04 Upload ไฟล์ > 5MB,Highest,TS-02,Lot 3,"Lot3,TS-02,Boundary","*Lot:* 3
*Trace:* 01-7(1)
*Type:* Boundary

*Pre-condition:*
ไฟล์ csv 5.01MB

*Test Steps:*
Upload

*Expected Result:*
Popup: เกินขนาดที่กำหนด

*Test Data:*
csv 5.01MB"
Test,TC-02-05 คอลัมน์ไม่ครบ/ชื่อผิด,Highest,TS-02,Lot 3,"Lot3,TS-02,Negative","*Lot:* 3
*Trace:* 01-7(2)
*Type:* Negative

*Pre-condition:*
csv ตัดคอลัมน์ออก

*Test Steps:*
Upload

*Expected Result:*
Popup: โครงสร้าง/ชื่อคอลัมน์ไม่ถูกต้อง

*Test Data:*
csv column ผิด"
Test,TC-02-06 ข้อมูลซ้ำกับที่เคยอัปโหลด,Highest,TS-02,Lot 3,"Lot3,TS-02,Negative","*Lot:* 3
*Trace:* 01-7(3)
*Type:* Negative

*Pre-condition:*
เคย upload ไฟล์นี้แล้ว

*Test Steps:*
Upload ไฟล์เดิมซ้ำ

*Expected Result:*
Popup: พบข้อมูลซ้ำ ไม่บันทึก

*Test Data:*
csv ซ้ำ"
Test,TC-02-07 เกิด error ระหว่างบันทึก,High,TS-02,Lot 3,"Lot3,TS-02,Negative","*Lot:* 3
*Trace:* 01-7(4)
*Type:* Negative

*Pre-condition:*
จำลอง DB error

*Test Steps:*
Upload

*Expected Result:*
Popup: เกิดข้อผิดพลาด กรุณาลองใหม่

*Test Data:*
"
Test,TC-02-08 ไฟล์ว่าง / 0 byte,High,TS-02,Lot 3,"Lot3,TS-02,Negative","*Lot:* 3
*Trace:* 01-7
*Type:* Negative

*Pre-condition:*
csv ว่าง

*Test Steps:*
Upload

*Expected Result:*
ระบบปฏิเสธอย่างเหมาะสม ไม่ crash

*Test Data:*
csv 0 byte"
Test,TC-02-09 csv อักขระพิเศษ/ภาษาไทย,High,TS-02,Lot 3,"Lot3,TS-02,Boundary","*Lot:* 3
*Trace:* 01-5
*Type:* Boundary

*Pre-condition:*
csv UTF-8 ไทย

*Test Steps:*
Upload

*Expected Result:*
นำเข้าได้ถูกต้อง ไม่เพี้ยน

*Test Data:*
csv ไทย UTF-8"
Test,TC-03-01 Maker upload → แสดงรายการตรวจ,Highest,TS-03,Lot 3,"Lot3,TS-03,Positive","*Lot:* 3
*Trace:* 01-0-4-1/2
*Type:* Positive

*Pre-condition:*
สิทธิ์ Maker

*Test Steps:*
Upload + เปิดดูรายการ

*Expected Result:*
ระบบแสดงรายการข้อมูลให้ผู้บริหารตรวจ

*Test Data:*
"
Test,TC-03-02 Checker Approve → บันทึกเข้า CIS,Highest,TS-03,Lot 3,"Lot3,TS-03,Positive","*Lot:* 3
*Trace:* 01-0-4-3/4
*Type:* Positive

*Pre-condition:*
สิทธิ์ Approver

*Test Steps:*
กด Approve

*Expected Result:*
บันทึกข้อมูลเข้า CIS + ส่ง Email แจ้งผล

*Test Data:*
"
Test,TC-03-03 Checker Reject + ระบุเหตุผล,Highest,TS-03,Lot 3,"Lot3,TS-03,Negative","*Lot:* 3
*Trace:* 01-0-4-3/5
*Type:* Negative

*Pre-condition:*
สิทธิ์ Approver

*Test Steps:*
กด Reject + กรอกเหตุผล

*Expected Result:*
ไม่บันทึกข้อมูล + Email แจ้งผลพร้อมเหตุผล

*Test Data:*
"
Test,TC-03-04 Maker ไม่สามารถ Approve งานตัวเอง,Highest,TS-03,Lot 3,"Lot3,TS-03,Negative","*Lot:* 3
*Trace:* 01-0-4
*Type:* Negative

*Pre-condition:*
login เป็น Maker

*Test Steps:*
พยายามอนุมัติงานตนเอง

*Expected Result:*
ระบบไม่อนุญาต (แยกบทบาท Maker/Checker)

*Test Data:*
"
Test,TC-03-05 Reject โดยไม่กรอกเหตุผล,High,TS-03,Lot 3,"Lot3,TS-03,Negative","*Lot:* 3
*Trace:* 01-0-4-5
*Type:* Negative

*Pre-condition:*
สิทธิ์ Approver

*Test Steps:*
กด Reject เว้นเหตุผลว่าง

*Expected Result:*
ระบบบังคับให้กรอกเหตุผล

*Test Data:*
"
Test,TC-04-01 สร้าง Segment ชื่อใหม่,Highest,TS-04,Lot 1,"Lot1,TS-04,Positive","*Lot:* 1
*Trace:* 02-3.1
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
สร้าง Segment ชื่อไม่ซ้ำ

*Expected Result:*
บันทึกสำเร็จ

*Test Data:*
"
Test,TC-04-02 ตั้งชื่อ Segment ซ้ำ,Highest,TS-04,Lot 1,"Lot1,TS-04,Negative","*Lot:* 1
*Trace:* 02-3.1
*Type:* Negative

*Pre-condition:*
มี Segment ชื่อนี้แล้ว

*Test Steps:*
สร้างชื่อที่มีอยู่แล้ว

*Expected Result:*
ระบบปฏิเสธ ""ห้ามตั้งชื่อซ้ำ""

*Test Data:*
"
Test,TC-04-03 Active/Inactive โดยไม่ลบ,High,TS-04,Lot 1,"Lot1,TS-04,Positive","*Lot:* 1
*Trace:* 02-3.1
*Type:* Positive

*Pre-condition:*
มี Segment

*Test Steps:*
toggle สถานะ

*Expected Result:*
สถานะเปลี่ยน ข้อมูลยังอยู่

*Test Data:*
"
Test,TC-04-04 Clone Segment,High,TS-04,Lot 1,"Lot1,TS-04,Positive","*Lot:* 1
*Trace:* 02-3.1
*Type:* Positive

*Pre-condition:*
มี Segment

*Test Steps:*
กด Clone

*Expected Result:*
ได้ Segment ใหม่ที่ copy เงื่อนไข

*Test Data:*
"
Test,TC-04-05 Filter หลาย Attribute ผสมกัน,Highest,TS-04,Lot 1,"Lot1,TS-04,Positive","*Lot:* 1
*Trace:* 02-3.2
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
เลือก gender + age range + province

*Expected Result:*
ได้กลุ่มลูกค้าตรงทุกเงื่อนไข (AND)

*Test Data:*
Customer หลากหลาย"
Test,TC-04-06 Filter ด้วย RFM Group,Highest,TS-04,Lot 1,"Lot1,TS-04,Positive","*Lot:* 1
*Trace:* 02-3.2
*Type:* Positive

*Pre-condition:*
มีข้อมูล RFM

*Test Steps:*
เลือก RFM = Champions

*Expected Result:*
ได้เฉพาะลูกค้ากลุ่มนั้น

*Test Data:*
RFM 11 กลุ่ม"
Test,TC-04-07 Exclude Consent = No,Highest,TS-04,Lot 1,"Lot1,TS-04,Negative","*Lot:* 1
*Trace:* 02-3.2
*Type:* Negative

*Pre-condition:*
-

*Test Steps:*
เปิด exclude Consent No

*Expected Result:*
ลูกค้า Consent=No ไม่อยู่ในกลุ่ม

*Test Data:*
Customer Consent=No"
Test,TC-04-08 Exclude Do-not-contact list,Highest,TS-04,Lot 1,"Lot1,TS-04,Negative","*Lot:* 1
*Trace:* 02-3.2
*Type:* Negative

*Pre-condition:*
-

*Test Steps:*
เปิด exclude do-not-contact

*Expected Result:*
เบอร์ที่อยู่ใน do-not-contact ถูกตัดออก

*Test Data:*
Customer ใน do-not-contact"
Test,TC-04-09 แสดง metadata Segment,Medium,TS-04,Lot 1,"Lot1,TS-04,Positive","*Lot:* 1
*Trace:* 02-3.3
*Type:* Positive

*Pre-condition:*
มี Segment

*Test Steps:*
เปิดดู Segment

*Expected Result:*
แสดง Created by/on, Modified, running no ถูกต้อง

*Test Data:*
"
Test,TC-04-10 Export Raw Data by Campaign,High,TS-04,Lot 1,"Lot1,TS-04,Positive","*Lot:* 1
*Trace:* 02-3.4
*Type:* Positive

*Pre-condition:*
มี Segment

*Test Steps:*
กด Export

*Expected Result:*
ได้ไฟล์ Raw Data ตาม Template

*Test Data:*
"
Test,TC-05-01 ส่ง Audience ไป Facebook Ads,High,TS-05,Lot 1,"Lot1,TS-05,Positive","*Lot:* 1
*Trace:* 02-4
*Type:* Positive

*Pre-condition:*
มี Segment

*Test Steps:*
เลือก Segment + Manual คลิกส่ง FB Ads

*Expected Result:*
FB Ads รับข้อมูลทำ Customer Match

*Test Data:*
"
Test,TC-05-02 ส่ง Audience ไป Google Ads,High,TS-05,Lot 1,"Lot1,TS-05,Positive","*Lot:* 1
*Trace:* 02-4
*Type:* Positive

*Pre-condition:*
มี Segment

*Test Steps:*
เลือก Segment + ส่ง Google Ads

*Expected Result:*
Google Ads รับข้อมูล

*Test Data:*
"
Test,TC-05-03 ส่งเฉพาะ Mobile No. แยกตาม Segment,High,TS-05,Lot 1,"Lot1,TS-05,Positive","*Lot:* 1
*Trace:* 02-4
*Type:* Positive

*Pre-condition:*
มี Segment

*Test Steps:*
ส่ง Audience

*Expected Result:*
ส่งเฉพาะ Mobile No. ของ Customer ตาม Segment

*Test Data:*
"
Test,TC-06-01 สร้าง Campaign ชื่อไม่ซ้ำ,Highest,TS-06,Lot 3,"Lot3,TS-06,Positive","*Lot:* 3
*Trace:* 02-5.1
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
สร้าง Campaign

*Expected Result:*
บันทึกสำเร็จ

*Test Data:*
"
Test,TC-06-02 ตั้งชื่อ Campaign ซ้ำ,Highest,TS-06,Lot 3,"Lot3,TS-06,Negative","*Lot:* 3
*Trace:* 02-5.1
*Type:* Negative

*Pre-condition:*
มีชื่อนี้แล้ว

*Test Steps:*
สร้างชื่อซ้ำ

*Expected Result:*
ปฏิเสธ

*Test Data:*
"
Test,TC-06-03 เลือกหลายช่องทาง,Highest,TS-06,Lot 3,"Lot3,TS-06,Positive","*Lot:* 3
*Trace:* 02-5.1
*Type:* Positive

*Pre-condition:*
มี Message ทุกช่องทาง

*Test Steps:*
เลือกครบ 4 ช่องทาง

*Expected Result:*
ผูก Message ได้ทุกช่องทาง

*Test Data:*
"
Test,TC-06-04 ส่งทันที (Immediate),Highest,TS-06,Lot 3,"Lot3,TS-06,Positive","*Lot:* 3
*Trace:* 02-5.1
*Type:* Positive

*Pre-condition:*
Campaign อนุมัติแล้ว

*Test Steps:*
เลือก ""ส่งทันที""

*Expected Result:*
ส่งทันทีหลังอนุมัติ

*Test Data:*
"
Test,TC-06-05 ส่งตามเวลาที่กำหนด,Highest,TS-06,Lot 3,"Lot3,TS-06,Positive","*Lot:* 3
*Trace:* 02-5.1
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
ตั้งเวลาในอนาคต

*Expected Result:*
ส่งตรงเวลาที่กำหนด

*Test Data:*
"
Test,TC-06-06 แก้เวลาส่งก่อนถึงกำหนด,High,TS-06,Lot 3,"Lot3,TS-06,Positive","*Lot:* 3
*Trace:* 02-5.1
*Type:* Positive

*Pre-condition:*
Campaign ตั้งเวลาไว้

*Test Steps:*
แก้เวลาก่อนส่ง

*Expected Result:*
เวลาส่งอัปเดต

*Test Data:*
"
Test,TC-06-07 หลาย Tag / Tag ซ้ำชื่อได้,Medium,TS-06,Lot 3,"Lot3,TS-06,Positive","*Lot:* 3
*Trace:* 02-5.1
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
ใส่ 2 Tag ชื่อซ้ำ Campaign อื่น

*Expected Result:*
ระบบยอมรับ

*Test Data:*
"
Test,TC-06-08 สถานะ Publish/Off,High,TS-06,Lot 3,"Lot3,TS-06,Positive","*Lot:* 3
*Trace:* 02-5.1
*Type:* Positive

*Pre-condition:*
มี Campaign

*Test Steps:*
เปลี่ยนสถานะ

*Expected Result:*
แสดงสถานะถูกต้อง

*Test Data:*
"
Test,TC-06-09 Retarget จากกลุ่ม Open/Click,High,TS-06,Lot 3,"Lot3,TS-06,Positive","*Lot:* 3
*Trace:* 02-5.1
*Type:* Positive

*Pre-condition:*
Campaign ส่งแล้ว

*Test Steps:*
สร้าง retarget ตาม Action=Click

*Expected Result:*
ส่งข้อมูลกลุ่มไป FB/Google

*Test Data:*
"
Test,TC-06-10 นับ Sent = เฉพาะที่ส่งสำเร็จ,Highest,TS-06,Lot 3,"Lot3,TS-06,Positive","*Lot:* 3
*Trace:* 02-5/02-10
*Type:* Positive

*Pre-condition:*
ส่ง 100 สำเร็จ 95

*Test Steps:*
ตรวจตัวเลข Sent

*Expected Result:*
Sent = 95

*Test Data:*
ส่ง 100 fail 5"
Test,TC-06-11 นับ Open = เฉพาะคนเปิดอ่าน,Highest,TS-06,Lot 3,"Lot3,TS-06,Positive","*Lot:* 3
*Trace:* 02-10.2
*Type:* Positive

*Pre-condition:*
40 คนเปิด

*Test Steps:*
ตรวจ Open

*Expected Result:*
Open = 40

*Test Data:*
"
Test,TC-06-12 นับ Unique Click (ไม่นับซ้ำ),Highest,TS-06,Lot 3,"Lot3,TS-06,Boundary","*Lot:* 3
*Trace:* 02-10.4
*Type:* Boundary

*Pre-condition:*
1 คนคลิก 3 ครั้ง

*Test Steps:*
ตรวจ Unique Click

*Expected Result:*
Unique Click +1

*Test Data:*
"
Test,TC-07-01 สร้าง Message ชื่อไม่ซ้ำ,High,TS-07,Lot 3,"Lot3,TS-07,Positive","*Lot:* 3
*Trace:* 02-6.1
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
สร้าง Message

*Expected Result:*
สำเร็จ

*Test Data:*
"
Test,TC-07-02 SMS = Text + Link เท่านั้น,High,TS-07,Lot 3,"Lot3,TS-07,Positive","*Lot:* 3
*Trace:* 02-6.1
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
สร้าง Message SMS

*Expected Result:*
บังคับรูปแบบ Text+Link

*Test Data:*
"
Test,TC-07-03 Email/Line = Image + Text + Link,High,TS-07,Lot 3,"Lot3,TS-07,Positive","*Lot:* 3
*Trace:* 02-6.1
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
สร้าง Message Email

*Expected Result:*
รองรับรูปภาพ+ข้อความ+ลิงก์

*Test Data:*
"
Test,TC-07-04 Personalization variable,Highest,TS-07,Lot 3,"Lot3,TS-07,Positive","*Lot:* 3
*Trace:* 02-6.1
*Type:* Positive

*Pre-condition:*
มีข้อมูลลูกค้า

*Test Steps:*
ใส่ตัวแปร {ชื่อ},{เลขกรมธรรม์}

*Expected Result:*
Preview/ส่งจริงแสดงข้อมูลลูกค้าจริง

*Test Data:*
Customer ชื่อ+กรมธรรม์"
Test,TC-07-05 แปลง Link เป็น Shortlink (Infobip),High,TS-07,Lot 3,"Lot3,TS-07,Positive","*Lot:* 3
*Trace:* 02-6.1
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
ติ๊ก shorten link

*Expected Result:*
Link ถูกย่อ

*Test Data:*
"
Test,TC-07-06 นับ Character & Credit SMS,High,TS-07,Lot 3,"Lot3,TS-07,Positive","*Lot:* 3
*Trace:* 02-6
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
พิมพ์ข้อความ SMS

*Expected Result:*
แสดงจำนวนตัวอักษร + credit ที่ใช้

*Test Data:*
"
Test,TC-07-07 SMS ภาษาไทยยาว (multi-part),High,TS-07,Lot 3,"Lot3,TS-07,Boundary","*Lot:* 3
*Trace:* 02-6
*Type:* Boundary

*Pre-condition:*
-

*Test Steps:*
ใส่ข้อความไทยยาว

*Expected Result:*
credit คำนวณตามจำนวน segment ถูกต้อง

*Test Data:*
SMS ไทยยาว"
Test,TC-07-08 Preview ข้อความ,Medium,TS-07,Lot 3,"Lot3,TS-07,Positive","*Lot:* 3
*Trace:* 02-6.1
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
กด Preview

*Expected Result:*
แสดงตัวอย่างตรงช่องทาง

*Test Data:*
"
Test,TC-07-09 Clone Message,Medium,TS-07,Lot 3,"Lot3,TS-07,Positive","*Lot:* 3
*Trace:* 02-6.1
*Type:* Positive

*Pre-condition:*
มี Message

*Test Steps:*
Clone

*Expected Result:*
ได้ Message ใหม่

*Test Data:*
"
Test,TC-08-01 Maker สร้าง+ผูก Segment → ขออนุมัติ,Highest,TS-08,Lot 3,"Lot3,TS-08,Positive","*Lot:* 3
*Trace:* 02-7-1
*Type:* Positive

*Pre-condition:*
สิทธิ์ Maker

*Test Steps:*
สร้าง Campaign + ผูก Segment + ส่งขออนุมัติ

*Expected Result:*
สถานะ ""รออนุมัติ""

*Test Data:*
"
Test,TC-08-02 Approver อนุมัติ → ส่งตาม 02-8,Highest,TS-08,Lot 3,"Lot3,TS-08,Positive","*Lot:* 3
*Trace:* 02-7-2
*Type:* Positive

*Pre-condition:*
สิทธิ์ Approver

*Test Steps:*
กด Approve

*Expected Result:*
ระบบดำเนินการส่ง Campaign

*Test Data:*
"
Test,TC-08-03 Approver ไม่อนุมัติ → ไม่ส่ง,Highest,TS-08,Lot 3,"Lot3,TS-08,Negative","*Lot:* 3
*Trace:* 02-7-2
*Type:* Negative

*Pre-condition:*
สิทธิ์ Approver

*Test Steps:*
กด Reject

*Expected Result:*
ระบบไม่ส่ง Campaign

*Test Data:*
"
